Index,log_hotel_kern,log_parking_ke,log_food_kerne,log_office_ker,log_retail_ker,DNI_HK,HKG_wind_s,tsd_mask,log_area,No_of_Stor,Year_Built,retro_before,retro_after,log_mtr_dist,is_commercial,kWh_m2_ann
0,0,1.825513733,2.604119088,0,2.494004233,2.4189999,1.76223,1.78748,3.300160537,22,1986,0,0,2.920409671,1,35.66
1,0,1.812394575,2.806255306,3.254303912,1.709997982,2.431,3.0687301,1.78748,2.992111488,12,1982,0,0,2.575267461,1,17.33
2,0,1.61899414,2.364292029,1.823295527,2.391783452,2.4230001,1.8610801,1.70745,3.2955671,28,1996,0,1,2.671974692,1,113.49
3,0,0,2.248507837,2.142088969,0,2.4460001,2.2842801,1.78748,2.649334859,12,1981,0,0,2.535916083,1,19.15
4,0,1.812056609,3.398825084,2.865053018,3.661666946,2.4260001,2.3733101,1.68077,3.583198774,3,1988,1,0,2.56767192,1,240.65
5,0,2.041041171,3.166018415,3.06004024,3.29505445,2.4419999,2.18119,1.70745,3.200029267,24,1997,0,1,2.811036802,0,152.07
6,0,1.982939336,2.967772087,3.153351364,3.434532182,2.4890001,3.4962499,1.86752,3.470851325,24,1999,0,1,3.1902113,0,76.78
7,0,0,2.85116351,4.063104342,2.93642375,2.2820001,3.86181,1.6274101,3.572755465,40,1992,0,1,2.80097837,0,180.86
8,0,0,2.22703784,1.972026867,2.42346053,2.4590001,2.6676199,1.6274101,3.280350693,3,1986,1,0,3.550451834,1,73.17
9,0,0,3.269872382,2.225836306,2.664221587,2.4449999,3.6088099,1.3873,3.15075644,7,1982,0,0,3.558063731,1,273.33
10,0,2.281258412,2.612610103,2.275350516,2.074597037,2.1440001,1.9997801,1.70745,3.652343055,26,1996,0,0,2.461659515,0,28.51
11,0,2.366564904,2.865282871,2.010244822,3.678322593,2.145,1.48368,1.70745,2.206825876,19,1995,1,0,2.539437892,1,114.14
12,0,0,2.051669518,1.879572345,2.600028172,2.155,2.60653,1.65409,3.667452953,29,1982,0,1,2.739940044,0,28.79
13,0,0.541473166,2.910632416,2.892317818,3.375605082,2.1589999,2.4616599,1.70745,4.073791643,2,1984,0,0,2.533490466,1,78.43
14,0,0,0,0,2.474704194,2.1600001,2.46539,1.70745,4.377779636,8,1984,1,0,2.087650895,1,185.35
15,0,1.814614436,0,1.969974729,2.875744012,2.142,1.96674,1.6274101,3.385784959,19,1994,0,1,2.568201885,0,79.44
16,0,1.922546394,2.653446009,1.45294965,3.078558321,2.165,2.24354,1.68077,2.542825427,2,1985,0,1,2.590134475,1,67.06
17,0,0,2.865430329,1.754625039,2.855594863,2.125,1.00376,1.6007299,2.374748346,3,1989,0,1,3.019913169,1,10.79
18,0,2.369586885,3.093789296,2.444272813,2.884690048,2.3110001,2.10987,1.6007299,3.574494268,26,1982,0,1,2.700934941,1,209.18
19,0,2.023692715,2.596037097,2.843517419,2.705850041,2.3299999,1.70979,1.6007299,3.15896526,20,1993,0,0,2.836275941,1,75.66
20,0,2.398473007,2.858845666,3.754430127,2.501445452,2.3340001,2.5794599,1.6274101,3.218272854,15,1998,0,0,2.562697873,1,138.95
21,0,1.609860019,2.857740663,2.154220003,3.444232213,2.332,2.5794599,1.6274101,2.561101384,3,1986,0,1,2.406806986,1,61.58
22,2.363871352,1.048111498,3.372107055,1.363294122,2.994180728,2.346,2.3670001,1.70745,2.605305046,22,1999,0,0,2.619164388,1,35.11
23,2.277279077,1.001003796,2.456954817,0,3.299603156,2.3369999,2.2609601,1.7608,2.783903579,13,1965,0,0,2.53278574,0,142.68
24,0,1.883799926,3.504878459,3.295186518,3.966230948,2.332,2.5794599,1.68077,3.657151502,6,1958,0,1,2.139381488,0,109.22
25,0,1.855387089,2.953820073,2.322035188,2.929955599,2.3180001,2.1853299,1.70745,2.238046103,9,1981,0,0,2.112870636,1,23.91
26,0,2.016176426,2.83911462,3.7403453,3.138198469,2.3239999,2.5674801,1.78748,2.72916479,1,1994,0,0,2.795567133,1,28.15
27,0,2.130472075,3.538547348,2.828734653,3.659938055,2.349,2.5722401,1.73413,2.589949601,11,2004,0,0,2.614216671,0,147.19
28,0,1.03086272,3.262920724,2.58285619,3.098145146,2.3239999,2.5722401,1.73413,2.716003344,23,1998,0,0,2.665003663,0,200.54
29,0.399299825,1.821267147,3.185955561,0.566444563,3.199000539,2.349,2.2883101,1.73413,2.923761961,17,1995,0,0,2.724263096,1,153.18
30,0,0,2.75312785,2.447804327,2.88227687,2.3629999,2.6905999,1.68077,3.638389408,36,1995,0,0,2.428153171,1,18.14
31,0,2.49684252,3.564742964,3.181248896,4.068449314,2.3369999,2.5722401,1.73413,3.473340964,25,1996,0,1,2.51616941,0,179.26
32,0,1.947853596,2.537382082,2.004446051,1.97475756,2.267,1.73441,1.8942,3.318897715,9,1972,1,0,2.728723531,0,66.87
33,0,0,2.433537846,1.405716799,2.348369135,2.267,2.1819201,1.8942,3.110926242,27,1991,0,1,2.635801332,1,26.69
34,0,1.980612784,2.547512558,2.638452328,2.663038142,2.267,1.97451,1.8942,3.161966616,19,1996,0,1,2.53430503,0,29.44
35,0,1.472812015,1.390896254,0,2.433608222,2.342,3.35075,1.84084,2.555094449,2,1991,0,1,2.790798134,1,36.19
36,0,1.7361183,3.027231317,1.941514397,2.747617652,2.319,1.9199899,1.9742399,2.747411808,39,1996,0,1,2.593484048,1,120
37,0,0,2.994602623,2.192506123,3.249347579,2.1919999,2.24999,1.6274101,3.580354661,3,1986,0,1,3.100622711,1,35.55
38,0,1.796694324,3.182674248,2.819080454,2.776135076,2.277,2.52828,1.94756,3.320146286,12,1980,0,0,2.3338622,0,122.83
39,0,1.910898558,2.586856139,1.620413005,3.015958825,2.319,1.9199899,2.00091,2.434568904,24,1996,0,0,2.550895286,1,34.94
40,0,2.321159164,2.585528404,2.937661301,2.885653495,2.277,1.97451,1.92088,2.638489257,21,2002,0,1,2.15919221,0,67.89
41,0,0,0,0,0,2.3039999,2.52828,1.94756,3.409764104,4,1983,0,0,1.792704488,1,244.33
42,0,1.942001615,3.980607771,3.117437025,3.737120242,2.322,2.1565101,2.02759,3.862191031,31,1990,0,0,2.135979629,1,260.34
43,0,1.687643085,3.898301636,3.389989559,4.348234755,2.3369999,2.1565101,2.00091,3.216429831,5,1991,0,1,2.099589233,1,143.17
44,0,1.851274262,2.662024576,2.454607067,2.659962774,2.3199999,3.9851501,1.9742399,3.397244581,2,1984,0,0,3.04163424,1,90.99
45,0,1.877288951,2.970458453,1.9538959,2.894354267,2.174,1.30064,1.84084,2.139879086,21,1994,0,1,2.891582556,0,16.44
46,0,2.26862008,2.2584026,0,2.560690764,2.197,2.5122299,1.94756,3.115277591,22,1991,0,0,2.809210863,1,108.18
47,0,1.784625845,2.811008986,0,2.516478523,2.309,2.5840399,1.92088,3.25163822,34,1991,0,1,1.734168618,1,59.5
48,0,1.984196396,3.017559189,1.666126566,2.809491037,2.2090001,1.66968,2.00091,3.484869033,3,1985,0,0,2.522008293,1,22.81
49,0,1.986548278,2.751986937,2.213642574,2.278028407,2.253,2.5827899,2.02759,3.315340477,7,1981,0,1,2.761404499,0,87.54
50,0,1.723756855,2.154530481,0,2.716171173,2.1500001,1.85268,1.92088,3.502290528,39,1999,0,1,2.834819026,0,13.64
51,0,2.291295577,2.57356778,3.266344604,2.923964841,2.3069999,1.54132,1.9742399,2.782472624,14,1966,0,0,2.751872164,0,36.9
52,0,2.249100494,2.863456683,2.42648525,2.88915375,2.1830001,1.28342,2.00091,4.20685285,43,1998,0,1,2.18942424,1,232
53,0,2.549520668,3.07736063,2.275693643,3.026590465,2.3110001,1.41355,1.92088,2.064457989,23,1983,0,0,2.554647009,1,25.81
54,0,1.001857409,3.060240661,0,3.101661169,2.312,1.34654,1.92088,2.733197265,3,1979,0,1,2.53521557,1,94.68
55,0,2.300932272,2.525534558,2.786179798,2.625261004,2.325,2.02757,2.05427,2.993876915,30,2002,0,1,2.451654306,1,49.54
56,0,2.300932272,2.525534558,2.786179798,2.625261004,2.325,2.02757,2.05427,2.993876915,30,2002,1,0,2.451654306,1,38.15
57,0,0,2.720377618,3.055210109,2.717880936,2.3329999,2.05986,2.05427,3.795810525,11,1989,0,1,1.870008932,1,103.42
58,0,2.686143615,2.890979597,3.474973426,3.07417989,2.332,2.02757,2.02759,2.523746467,27,1996,0,0,2.264915027,1,94.19
59,0,0,2.85592962,2.457326183,2.914223067,2.3110001,1.82997,1.94756,2.361727836,13,1996,0,0,2.461908359,1,41.01
60,0,0,3.633968131,2.560064508,4.102172927,2.279,2.5553701,1.92088,4.252586064,7,1998,0,1,2.106983131,0,129.47
61,0,0,2.706167109,3.123489038,2.965850084,2.312,1.28573,1.92088,2.457881897,12,1982,0,0,2.406041914,1,30.64
62,0,1.815349256,2.760001569,2.423679975,3.062897707,2.299,2.1289101,1.92088,2.149219113,12,1982,0,0,2.661144437,1,30.16
63,0,2.631502632,2.938310518,3.17585666,3.106398297,2.332,1.68894,2.02759,2.840733235,36,1995,0,0,2.338713767,1,86.89
64,1.813341441,1.79242672,3.479822828,3.120425867,3.651143232,2.2390001,2.5875001,2.00091,3.450249108,4,1996,0,0,2.886658043,1,152.39
65,0.072879003,2.660653976,2.939127714,3.418626055,3.059063352,2.3329999,2.05986,2.05427,2.832508913,26,2002,0,1,1.978306098,0,105.09
66,0,2.212368727,1.918971851,1.978159047,2.230962118,2.3199999,2.0970299,2.00091,3.502017215,11,1989,0,1,2.452815915,0,75.15
67,0,2.318029913,3.0800887,3.760126827,3.339513065,2.3329999,2.05986,2.05427,2.8162413,34,1998,0,1,2.149448431,0,25.59
68,0,2.055657308,2.928112558,2.451087647,3.11880354,2.299,2.1289101,1.92088,2.45484486,13,1991,0,0,2.655175686,1,15.77
69,0,2.224019994,2.7132771,3.739526454,3.154031184,2.2090001,2.6437399,2.05427,2.73239376,25,2016,0,0,2.649329929,1,132.33
70,0,1.850475306,3.249641004,0,3.030749451,2.312,1.34654,1.92088,2.597695186,11,1985,0,0,2.566740823,1,25.53
71,0,2.361470957,2.586829133,3.575016868,2.796869793,2.2360001,2.16558,2.00091,2.976349979,28,2009,0,1,2.810545402,0,377.44
72,2.303118276,2.525799962,2.479542203,0,2.997683836,2.3099999,2.1728001,1.94756,2.580924976,14,1997,0,0,2.60164317,1,38.86
73,2.101258917,2.401012594,3.253401015,3.195013576,3.380553095,2.3099999,2.31128,1.9742399,2.396199347,3,1978,0,0,2.352589097,1,242.11
74,0,2.167860618,2.416771957,3.682986672,2.629578783,2.2360001,2.36008,2.00091,3.10002573,25,1998,0,1,2.875148586,0,43.39
75,0,0,2.55911869,2.892793932,2.907046241,2.3099999,2.31128,1.9742399,2.276461804,12,1982,0,0,2.399017334,1,19.55
76,0,2.223420643,2.369219567,0,1.961485148,2.2909999,2.63392,1.9742399,2.414973348,1,1957,0,0,2.614686949,1,27.73
77,0,2.230068103,2.424817955,0,2.526092319,2.3169999,2.3394201,2.00091,3.715083671,9,1993,0,1,2.448352221,0,118.77
78,1.908813045,0.970865005,3.384580991,2.535333377,3.567538049,2.2639999,2.1563001,2.00091,3.76952502,6,1971,0,1,2.895757162,1,201.72
79,0,2.014814454,2.960516909,2.140159099,2.920482841,2.3069999,2.5093501,1.9742399,2.556302501,13,1997,0,0,2.427594113,1,189.49
80,0,2.096805774,2.234481846,2.685216687,3.390606595,2.3099999,2.4138801,1.9742399,2.565847819,13,1976,0,1,2.395708462,1,13.81
81,0,0,2.097961474,2.716916068,3.337175645,2.3069999,2.4138801,1.9742399,2.318063335,12,1976,0,1,1.87926779,1,18.86
82,0,1.943968602,2.15306448,1.725745065,2.920143684,2.2650001,2.3489101,1.9742399,2.303196057,12,1981,0,0,3.042864653,1,109.72
83,0,1.820296079,3.210636816,1.715169031,2.725074902,2.2690001,2.3836701,1.9742399,2.276461804,5,1985,0,0,3.016851265,0,12.39
84,1.863610713,0,2.301624576,2.153503874,3.110650323,2.3169999,2.5715599,1.9742399,1.924279286,8,1968,0,0,2.479692654,1,48.89
85,0,1.685039138,2.923324355,2.26443766,2.895925622,2.2720001,2.3836701,2.00091,2.11058971,5,1984,0,0,3.013403851,0,189.46
86,1.88943003,0.270476662,2.979871926,2.890252732,3.199749688,2.2720001,2.3429401,2.00091,2.665580991,6,1981,0,0,3.062722884,0,157.15
87,0,1.959653758,2.928485461,2.605231767,2.987372623,2.2490001,2.37573,1.9742399,3.524006446,34,1985,1,0,2.832192488,1,54.98
